measurement_set_id,measurement_set_sequence,measurement_set_timestamp_utc,sample_index,sample_timestamp_utc,collector_id,device_name,environment,building,floor,capture_interval_seconds_config,wdutil_samples_config,wdutil_delay_seconds_config,unredactor_found,unredactor_parse_error,unredactor_ssid,unredactor_bssid,unredactor_interface,wdutil_ssid,wdutil_bssid,wdutil_rssi_dbm,wdutil_noise_dbm,wdutil_tx_rate,wdutil_channel,wdutil_mac_address,wdutil_security,wdutil_phy_mode,wdutil_mcs_index,wdutil_nss,wdutil_cca,legacy_extra_columns_json,raw_measurement_json_path
07d6fa75def0,1,2026-04-28T00:11:02.402561+00:00,0,2026-04-28T00:11:02.508330+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-45,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/07d6fa75def0.json
07d6fa75def0,1,2026-04-28T00:11:02.402561+00:00,1,2026-04-28T00:11:03.719977+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-45,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/07d6fa75def0.json
07d6fa75def0,1,2026-04-28T00:11:02.402561+00:00,2,2026-04-28T00:11:04.951550+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-45,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/07d6fa75def0.json
825d2cb1e35a,2,2026-04-28T00:11:07.403333+00:00,0,2026-04-28T00:11:07.470753+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-45,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/825d2cb1e35a.json
825d2cb1e35a,2,2026-04-28T00:11:07.403333+00:00,1,2026-04-28T00:11:08.676819+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-44,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/825d2cb1e35a.json
825d2cb1e35a,2,2026-04-28T00:11:07.403333+00:00,2,2026-04-28T00:11:09.892676+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-44,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/825d2cb1e35a.json
9652bfea7428,3,2026-04-28T00:11:12.408520+00:00,0,2026-04-28T00:11:12.483688+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-45,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/9652bfea7428.json
9652bfea7428,3,2026-04-28T00:11:12.408520+00:00,1,2026-04-28T00:11:13.701782+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-45,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/9652bfea7428.json
9652bfea7428,3,2026-04-28T00:11:12.408520+00:00,2,2026-04-28T00:11:14.901204+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-43,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/9652bfea7428.json
e4600c838f5d,4,2026-04-28T00:11:17.413620+00:00,0,2026-04-28T00:11:17.500943+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-42,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/e4600c838f5d.json
e4600c838f5d,4,2026-04-28T00:11:17.413620+00:00,1,2026-04-28T00:11:18.700138+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-46,-97,573.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/e4600c838f5d.json
e4600c838f5d,4,2026-04-28T00:11:17.413620+00:00,2,2026-04-28T00:11:19.903261+00:00,kevinluo,DN525jde.SUNet,indoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-47,-97,286.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,11,2,0 %,null,data/wifi_raw/e4600c838f5d.json
514c995ac0b3,5,2026-04-28T00:11:51.514166+00:00,0,2026-04-28T00:11:51.602127+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-67,-97,344.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,8,2,0 %,null,data/wifi_raw/514c995ac0b3.json
514c995ac0b3,5,2026-04-28T00:11:51.514166+00:00,1,2026-04-28T00:11:52.807244+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-67,-97,344.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,8,2,0 %,null,data/wifi_raw/514c995ac0b3.json
514c995ac0b3,5,2026-04-28T00:11:51.514166+00:00,2,2026-04-28T00:11:54.013032+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-67,-97,344.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,8,2,0 %,null,data/wifi_raw/514c995ac0b3.json
bd411ce968ea,6,2026-04-28T00:11:56.519270+00:00,0,2026-04-28T00:11:56.627246+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-78,-97,309.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,6,2,7 %,null,data/wifi_raw/bd411ce968ea.json
bd411ce968ea,6,2026-04-28T00:11:56.519270+00:00,1,2026-04-28T00:11:57.842047+00:00,kevinluo,DN525jde.SUNet,outdoor,seqouia,1,5.0,3,1.0,true,,Stanford,a8:3a:79:c7:75:12,en0,<redacted>,<redacted>,-78,-97,309.0 Mbps,5g149/40,<redacted> (hw=<redacted>),None,11ax,6,2,7 %,null,data/wifi_raw/bd411ce968ea.json
